NPuzzle Problem,size = 8, iterations = 2, timeout = 10s

Algorithm,Heuristic,,Length_Min,Length_Max,Length_Mean,Length_Median,Length_Modes,,Time_Min,Time_Max,Time_Mean,Time_Median,Time_Modes,,Success,Timed_Up
Greedy Best First Search,Manhattan,,50,56,53,53.0,"[50, 56]",,0.015156745910644531,0.015788793563842773,0.015472769737243652,0.015472769737243652,"[0.015788793563842773, 0.015156745910644531]",,2,0
,Misplaced Tiles,,36,74,55,55.0,"[36, 74]",,0.08291268348693848,0.1089026927947998,0.09590768814086914,0.09590768814086914,"[0.1089026927947998, 0.08291268348693848]",,2,0
,Gaschnig,,68,88,78,78.0,"[68, 88]",,0.05121493339538574,0.0558013916015625,0.05350816249847412,0.05350816249847412,"[0.05121493339538574, 0.0558013916015625]",,2,0
,Max Manhattan Gaschnig,,50,56,53,53.0,"[50, 56]",,0.014059305191040039,0.01672983169555664,0.01539456844329834,0.01539456844329834,"[0.014059305191040039, 0.01672983169555664]",,2,0
Best First Tree Search,Manhattan,,-,-,-,-,"-",,-,-,-,-,"-",,0,2
,Misplaced Tiles,,-,-,-,-,"-",,-,-,-,-,"-",,0,2
,Gaschnig,,-,-,-,-,"-",,-,-,-,-,"-",,0,2
,Max Manhattan Gaschnig,,-,-,-,-,"-",,-,-,-,-,"-",,0,2
A* Search,Manhattan,,22,26,24,24.0,"[26, 22]",,0.07199501991271973,5.722150564193726,2.8970727920532227,2.8970727920532227,"[5.722150564193726, 0.07199501991271973]",,2,0
,Misplaced Tiles,,22,22,22,22,"[22]",,6.8651206493377686,6.8651206493377686,6.8651206493377686,6.8651206493377686,"[6.8651206493377686]",,1,1
,Gaschnig,,22,22,22,22,"[22]",,2.2519145011901855,2.2519145011901855,2.2519145011901855,2.2519145011901855,"[2.2519145011901855]",,1,1
,Max Manhattan Gaschnig,,22,26,24,24.0,"[26, 22]",,0.0753028392791748,5.6452414989471436,2.860272169113159,2.860272169113159,"[5.6452414989471436, 0.0753028392791748]",,2,0
A* Tree Search,Manhattan,,-,-,-,-,"-",,-,-,-,-,"-",,0,2
,Misplaced Tiles,,-,-,-,-,"-",,-,-,-,-,"-",,0,2
,Gaschnig,,-,-,-,-,"-",,-,-,-,-,"-",,0,2
,Max Manhattan Gaschnig,,-,-,-,-,"-",,-,-,-,-,"-",,0,2
Iterative Deepening Search,-,,-,-,-,-,"-",,-,-,-,-,"-",,0,2
Iterative Deepening Graph Search,-,,-,-,-,-,"-",,-,-,-,-,"-",,0,2
