NPuzzle Problem,size = 8, iterations = 20, timeout = 10s

Algorithm,Heuristic,,Length_Min,Length_Max,Length_Mean,Length_Median,Length_Modes,,Time_Min,Time_Max,Time_Mean,Time_Median,Time_Modes,,Success,Timed_Up
Greedy Best First Search,Manhattan,,23,136,72.7,72.5,"[77]",,0.006519317626953125,0.20751309394836426,0.05920789241790771,0.04170715808868408,"[0.009401321411132812, 0.02039313316345215, 0.04383087158203125, 0.013219594955444336, 0.039583444595336914, 0.07595515251159668, 0.20751309394836426, 0.06403923034667969, 0.09093618392944336, 0.008630514144897461, 0.014819145202636719, 0.022433757781982422, 0.12730717658996582, 0.13982009887695312, 0.0162353515625, 0.01242828369140625, 0.13772892951965332, 0.006519317626953125, 0.08726668357849121, 0.0460965633392334]",,20,0
,Misplaced Tiles,,31,112,76.5,72.5,"[63, 71, 95]",,0.006443023681640625,0.2743053436279297,0.1225115180015564,0.13506042957305908,"[0.04547739028930664, 0.14592504501342773, 0.13775157928466797, 0.14211821556091309, 0.08005619049072266, 0.08817887306213379, 0.18696045875549316, 0.09830856323242188, 0.2520580291748047, 0.2743053436279297, 0.16693735122680664, 0.1323692798614502, 0.13958287239074707, 0.04601573944091797, 0.16328191757202148, 0.027997493743896484, 0.20920157432556152, 0.006443023681640625, 0.09292268753051758, 0.01433873176574707]",,20,0
,Gaschnig,,27,134,77,68.5,"[56, 62, 61, 47, 66, 134, 96, 71, 94, 120, 81, 49, 44, 50, 97, 117, 87, 27, 129, 52]",,0.0059206485748291016,0.3790602684020996,0.18757989406585693,0.19810163974761963,"[0.03144645690917969, 0.05888247489929199, 0.31568074226379395, 0.1004800796508789, 0.1278858184814453, 0.32828545570373535, 0.06627655029296875, 0.047098398208618164, 0.3226051330566406, 0.3628408908843994, 0.3115699291229248, 0.01845550537109375, 0.26831746101379395, 0.03242135047912598, 0.29795241355895996, 0.33706235885620117, 0.31971192359924316, 0.0059206485748291016, 0.3790602684020996, 0.01964402198791504]",,20,0
,Max Manhattan Gaschnig,,23,136,73,72.5,"[36, 68, 77, 23, 64, 84, 136, 57, 114, 44, 51, 91, 106, 104, 63, 41, 109, 33, 79, 80]",,0.006482839584350586,0.20095133781433105,0.05864126682281494,0.04011034965515137,"[0.007542133331298828, 0.022617816925048828, 0.042311906814575195, 0.016941308975219727, 0.03790879249572754, 0.07709980010986328, 0.20095133781433105, 0.06258201599121094, 0.09009957313537598, 0.008884668350219727, 0.013529300689697266, 0.025140762329101562, 0.1326279640197754, 0.13283967971801758, 0.018842220306396484, 0.012654781341552734, 0.13175392150878906, 0.006482839584350586, 0.08563518524169922, 0.04637932777404785]",,20,0
Best First Tree Search,Manhattan,,-,-,-,-,"-",,-,-,-,-,"-",,0,20
,Misplaced Tiles,,-,-,-,-,"-",,-,-,-,-,"-",,0,20
,Gaschnig,,-,-,-,-,"-",,-,-,-,-,"-",,0,20
,Max Manhattan Gaschnig,,-,-,-,-,"-",,-,-,-,-,"-",,0,20
A* Search,Manhattan,,15,27,21.944444444444443,22.5,"[24]",,0.006480216979980469,5.29203462600708,0.9150497118631998,0.19562852382659912,"[0.11457490921020508, 1.7460172176361084, 0.03234982490539551, 3.093186855316162, 0.267719030380249, 0.0556790828704834, 1.5188381671905518, 2.5558524131774902, 0.17483758926391602, 0.14631080627441406, 0.149491548538208, 0.6422789096832275, 5.29203462600708, 0.05988645553588867, 0.006480216979980469, 0.21641945838928223, 0.373201847076416, 0.025735855102539062]",,18,2
,Misplaced Tiles,,15,22,19.555555555555557,20,"[22, 19, 21]",,0.023708343505859375,6.426698446273804,2.579662243525187,1.2389049530029297,"[6.055164575576782, 0.14244389533996582, 6.426698446273804, 0.5772058963775635, 0.6660218238830566, 0.023708343505859375, 3.6994082927703857, 4.387403964996338, 1.2389049530029297]",,9,11
,Gaschnig,,15,23,20.181818181818183,21,"[22, 19, 23, 21]",,0.009853839874267578,5.724685192108154,1.7071803483096035,1.4141242504119873,"[2.4067091941833496, 0.06258106231689453, 2.276041269302368, 0.18805837631225586, 5.724685192108154, 4.508493423461914, 0.20741868019104004, 0.009853839874267578, 1.4141242504119873, 1.529984474182129, 0.4510340690612793]",,11,9
,Max Manhattan Gaschnig,,15,27,21.944444444444443,22.5,"[24]",,0.006102800369262695,4.996827840805054,0.9041717184914483,0.19607436656951904,"[0.11866521835327148, 1.7942547798156738, 0.034523725509643555, 3.0699479579925537, 0.28507542610168457, 0.06291532516479492, 1.5568854808807373, 2.561586856842041, 0.1807248592376709, 0.15584468841552734, 0.1584165096282959, 0.6611924171447754, 4.996827840805054, 0.057755231857299805, 0.006102800369262695, 0.2114238739013672, 0.3382096290588379, 0.024738311767578125]",,18,2
A* Tree Search,Manhattan,,-,-,-,-,"-",,-,-,-,-,"-",,0,20
,Misplaced Tiles,,-,-,-,-,"-",,-,-,-,-,"-",,0,20
,Gaschnig,,-,-,-,-,"-",,-,-,-,-,"-",,0,20
,Max Manhattan Gaschnig,,-,-,-,-,"-",,-,-,-,-,"-",,0,20
Iterative Deepening Search,-,,-,-,-,-,"-",,-,-,-,-,"-",,0,20
Iterative Deepening Graph Search,-,,19,21,19.666666666666668,19,"[19]",,2.3497653007507324,3.7322003841400146,2.940345207850138,2.739069938659668,"[2.739069938659668, 2.3497653007507324, 3.7322003841400146]",,3,17
